QueryNumber,QueryText
00041,IS VITAMIN D METABOLISM NORMAL CF PATIENTS
00042,WHAT ABNORMALITIES INSULIN SECRETION INSULIN METABOLISM OCCUR CF PATIENTS
00043,IS SALT SODIUM AND OR CHLORIDE TRANSPORT PERMEABILITY ABNORMAL CF
00044,WHAT STRUCTURAL ENZYMATIC DIFFERENCES FIBROBLASTS CF PATIENTS NON CF PATIENTS
00045,WHAT ABNORMALITIES PROSTAGLANDIN METABOLISM DESCRIBED CF PATIENTS
00046,WHAT PROPERTIES ACTIVITY GALACTOSYLTRANSFERASE ENZYMES CF PATIENTS
00047,WHAT DIFFERENCES NORMAL SUBJECTS CF PATIENTS DESCRIBED FUNCTION METABOLISM HORMONES
00048,DO FIBROBLASTS CF PATIENTS GROW NORMAL RATE
00049,IS RNA METHYLATION POLYAMINE METABOLISM NORMAL CF PATIENTS
00050,WHAT DEFECTS SYNTHESIS METABOLISM CYCLIC NUCLEOTIDES DESCRIBED CF PATIENTS
00051,WHAT CIRCULATING SECRETED FACTORS DESCRIBED CF PATIENTS FACTORS UNIDENTIFIED BIOLOGICALLY ACTIVE MOLECULES THOUGHT PLAY PATHOGENETIC ROLE CYSTIC FIBROSIS
00052,WHAT KNOWN PROLACTIN CF PATIENTS
00053,DOES SECRETORY IGA PROTECT CF PATIENTS BACTERIAL COLONIZATION INFECTION
00054,WHAT RELATIONSHIP ALLERGY HYPERSENSITIVITY LUNG DISEASE CF PATIENTS
00055,WHAT INTERACTIONS PROTEASES ENDOGENOUS BACTERIAL ORIGIN ANTIPROTEASES LUNGS CF PATIENTS
00056,WHAT RELATIONSHIP NUTRITION PULMONARY HOST DEFENSES BACTERIAL INFECTION CF PATIENTS
00057,WHAT PATHOPHYSIOLOGIC ROLE CIRCULATING ANTIBODIES PSEUDOMONAS AERUGINOSA CF PATIENTS
00058,WHAT IMMUNOLOGIC RESPONSE PULMONARY INFECTION CF PATIENTS
00059,WHAT IMMUNOLOGIC ABNORMALITIES FOUND CF PATIENTS
00060,WHAT EFFECTS CF PULMONARY CIRCULATION
00061,IS DEFECT MUCOCILIARY TRANSPORT CLEARANCE RESPIRATORY TRACT CF PATIENTS
00062,WHAT CLINICAL FEATURES LUNG DISEASE CF PATIENTS
00063,WHAT BIOCHEMICAL MICROSCOPIC CHARACTERISTICS AIRWAY INFLAMMATION CF PATIENTS
00064,HOW LUNG FUNCTION CHANGE TIME CF PATIENTS TIME PERIODS GREATER DAY
00065,WHAT ABNORMALITIES PULMONARY FUNCTION CF PATIENTS
00066,WHAT PATHOLOGIC FEATURES LUNG DISEASE CF PATIENTS
00067,WHAT PROGNOSIS PATIENTS EPISODE RESPIRATORY FAILURE
00068,WHAT EFFECTS BRONCHODILATORS CF PATIENTS
00069,WHAT BEST WAY TREAT PNEUMOTHORAX CF PATIENTS
00070,WHAT TREATMENT PROGNOSIS HEMOPTYSIS CF PATIENTS
00071,WHAT PROGNOSIS INFANTS WHEEZING CYSTIC FIBROSIS
00072,WHAT BEST TREATMENT NASAL POLYPS CF PATIENTS
00073,HOW EFFECTIVE BRONCHIAL LAVAGE CF PATIENTS
00074,WHAT RESULTS MECHANICAL VENTILATION CF PATIENTS RESPIRATORY FAILURE
00075,WHAT BEST TREATMENT PULMONARY HYPERTENSION AND OR COR PULMONALE CF PATIENTS
00076,WHAT EFFECTS EXERCISE TRAINING PROGRAMS LUNG FUNCTION CF PATIENTS
00077,WHAT TECHNIQUES EFFECTIVE PROMOTING CLEARANCE MUCUS LUNGS CF PATIENTS
00078,WHAT SPECIAL CONSIDERATIONS TREATMENT CF PATIENTS ANTIBIOTICS IE PHARMACODYNAMICS ANTIBIOTICS DIFFERENT CF PATIENTS SPECIAL PROBLEMS PECULIAR CF
00079,WHAT ROLE ORALLY ADMINISTERED ANTIBIOTICS TREATMENT CF PATIENTS
00080,WHAT EVIDENCE COMBINATION THERAPY AMINOGLYCOSIDES SEMISYNTHETIC PENICILLINS EFFECTIVE THERAPY EITHER ALONE
00081,HOW EFFECTIVE INHALATIONS MUCOLYTIC AGENTS TREATMENT CF PATIENTS
00082,WHAT ROLE AEROSOLS TREATMENT LUNG DISEASE CF PATIENTS
00083,WHAT ROLE BACTERIAL PHAGOCYTOSIS ALVEOLAR MACROPHAGES POLYMORPHONUCLEAR LEUKOCYTES LUNG DISEASE CF PATIENTS
00084,WHAT RELATIONSHIP HAEMOPHILUS INFLUENZAE PSEUDOMONAS AERUGINOSA CF PATIENTS
00085,DO CF PATIENTS EVER DEVELOP INFECTION ORGANS LUNG IF ORGANS
00086,WHAT ROLE BACTERIA PSEUDOMONAS AERUGINOSA STAPHYLOCOCCUS AUREUS HAEMOPHILUS INFLUENZAE PATHOGENESIS LUNG DISEASE CF PATIENTS
00087,WHAT ROLE FUNGI PATHOGENESIS LUNG DISEASE CF PATIENTS
00088,WHAT ROLE VIRAL INFECTION LUNG DISEASE CF PATIENTS
00089,WHAT EPIDEMIOLOGY PSEUDOMONAS AERUGINOSA CF PATIENTS SPECIFICALLY CF PATIENTS SPREAD PSEUDOMONAS AERUGINOSA PATIENTS INDIVIDUALS FAMILY
00090,WHAT FACTORS RESPONSIBLE APPEARANCE MUCOID STRAINS PSEUDOMONAS AERUGINOSA CF PATIENTS
00091,WHAT UNUSUAL MANIFESTATIONS CF LUNG DISEASE EXOCRINE PANCREATIC INSUFFICIENCY
00092,WHAT PROGNOSIS SURVIVAL PATIENTS CF
00094,WHAT ANIMAL MODELS AVAILABLE RELEVANT CF
00095,WHAT ABNORMALITIES SKELETAL MUSCLE FUNCTION STRUCTURE FOUND CF PATIENTS
00096,IS INCREASED INCIDENCE DENTAL PROBLEMS EG CARIES PERIODONTAL DISEASE CF PATIENTS
00097,IS OXYGEN TRANSPORT RED BLOOD CELLS ABNORMAL CF PATIENTS
00098,WHAT EFFECTS CF DEVELOPMENT AND OR FUNCTION BRAIN CENTRAL NERVOUS SYSTEM
00099,ARE ABNORMALITIES TASTE CF PATIENTS
00100,WHAT INCIDENCE TREATMENT HYPERTROPHIC OSTEOARTHROPATHY CF PATIENTS
