QueryNumber,RankingDoc
2,"[13, 417, 0.587098275581508]"
2,"[14, 133, 0.5870982755815078]"
2,"[15, 571, 0.5869904961843369]"
2,"[16, 1170, 0.5841554805510496]"
2,"[17, 589, 0.5794391643012287]"
2,"[18, 189, 0.577621837624373]"
2,"[19, 179, 0.5761711492135942]"
2,"[20, 47, 0.5743123789067864]"
2,"[21, 550, 0.573160494121244]"
2,"[22, 1078, 0.5713545776844096]"
2,"[23, 767, 0.568246587737644]"
2,"[24, 265, 0.5613009924893246]"
2,"[25, 6, 0.5608295978388846]"
2,"[26, 7, 0.5576830568346898]"
2,"[27, 769, 0.5527211545806565]"
2,"[28, 1, 0.5523829187998165]"
2,"[29, 459, 0.5521688436262499]"
2,"[30, 137, 0.5502955176750715]"
3,"[1, 137, 0.8684920228916713]"
3,"[2, 437, 0.824527876361581]"
3,"[3, 246, 0.8013041164600243]"
3,"[4, 961, 0.7907488740428552]"
3,"[5, 1206, 0.7841174258594715]"
3,"[6, 151, 0.7801500205416801]"
3,"[7, 1165, 0.7671889569203172]"
3,"[8, 1137, 0.7666351008272755]"
3,"[9, 415, 0.7562606683085634]"
3,"[10, 905, 0.7538220516923552]"
3,"[11, 172, 0.7450011946535053]"
3,"[12, 629, 0.7421496604746332]"
3,"[13, 754, 0.7386297639877858]"
3,"[14, 1238, 0.7358022557477957]"
3,"[15, 633, 0.7343751321065219]"
3,"[16, 19, 0.7330022375468929]"
3,"[17, 528, 0.7323686469809373]"
3,"[18, 269, 0.7274442771247969]"
3,"[19, 1171, 0.7268477127615716]"
3,"[20, 676, 0.7241657580455251]"
3,"[21, 263, 0.7217080246205008]"
3,"[22, 715, 0.7217080246205008]"
3,"[23, 886, 0.7210916388634427]"
3,"[24, 141, 0.7207925493684405]"
3,"[25, 144, 0.718175956796544]"
3,"[26, 55, 0.7176257338045594]"
3,"[27, 201, 0.7162484200569187]"
3,"[28, 1209, 0.7162484200569187]"
3,"[29, 1237, 0.7162476882331247]"
3,"[30, 268, 0.7161798321730097]"
3,"[31, 1161, 0.7149408647992184]"
3,"[32, 589, 0.7115416953225864]"
3,"[33, 680, 0.7111775725853073]"
3,"[34, 320, 0.7098337218282792]"
3,"[35, 803, 0.7086247657459457]"
3,"[36, 1181, 0.7061514235331288]"
3,"[37, 786, 0.7061265300714262]"
3,"[38, 140, 0.701024657324355]"
3,"[39, 317, 0.7005732917718014]"
3,"[40, 523, 0.6998467039630446]"
3,"[41, 187, 0.6982513575461663]"
3,"[42, 401, 0.6981036918997501]"
3,"[43, 308, 0.6976351158453471]"
3,"[44, 585, 0.6942347433233775]"
3,"[45, 1159, 0.6928954929704478]"
3,"[46, 356, 0.6924787422937952]"
3,"[47, 306, 0.6915853720524677]"
3,"[48, 259, 0.68903411897088]"
3,"[49, 958, 0.68903411897088]"
3,"[50, 150, 0.6886532073103196]"
3,"[51, 496, 0.68724369318155]"
3,"[52, 622, 0.6868028813480475]"
3,"[53, 441, 0.6856770862602205]"
3,"[54, 960, 0.679960422370993]"
3,"[55, 124, 0.6798428686234997]"
3,"[56, 765, 0.6770640719919319]"
3,"[57, 1107, 0.675978589495859]"
3,"[58, 1076, 0.6742689422946523]"
3,"[59, 807, 0.673684310715853]"
3,"[60, 1016, 0.6722981579979849]"
3,"[61, 139, 0.6720853915126092]"
3,"[62, 685, 0.6695433752490072]"
3,"[63, 535, 0.6693841801573509]"
3,"[64, 424, 0.6674555101786586]"
3,"[65, 689, 0.6674555101786586]"
3,"[66, 830, 0.6674555101786586]"
3,"[67, 873, 0.665940414128824]"
3,"[68, 313, 0.6648150457901753]"
3,"[69, 1099, 0.6624980963739987]"
3,"[70, 358, 0.6612603619436669]"
3,"[71, 336, 0.6606725907583801]"
3,"[72, 366, 0.657599320121911]"
3,"[73, 738, 0.657599320121911]"
3,"[74, 904, 0.6563603011565353]"
3,"[75, 147, 0.6558719613427091]"
3,"[76, 811, 0.6540994366975493]"
3,"[77, 24, 0.6532224740150443]"
3,"[78, 624, 0.6525284708815345]"
3,"[79, 288, 0.6522879753621759]"
3,"[80, 341, 0.6522879753621759]"
3,"[81, 851, 0.6522879753621759]"
3,"[82, 1132, 0.6522879753621759]"
3,"[83, 190, 0.6522392844491673]"
3,"[84, 453, 0.6522355220634458]"
3,"[85, 62, 0.6516672078457212]"
3,"[86, 208, 0.6514261004694601]"
3,"[87, 1146, 0.6512494537608654]"
3,"[88, 1078, 0.6512003259032823]"
3,"[89, 655, 0.6506342519700334]"
3,"[90, 853, 0.6504370091821541]"
3,"[91, 138, 0.6498106832117417]"
3,"[92, 1124, 0.648082184489259]"
3,"[93, 52, 0.6476967218358352]"
3,"[94, 119, 0.647159107942975]"
3,"[95, 134, 0.647159107942975]"
3,"[96, 357, 0.647159107942975]"
3,"[97, 981, 0.647159107942975]"
3,"[98, 840, 0.6468791098742461]"
3,"[99, 1202, 0.6468791098742461]"
3,"[100, 224, 0.6459500798704787]"
3,"[101, 1142, 0.6459409798392362]"
3,"[102, 901, 0.6457012534901313]"
3,"[103, 749, 0.6448082438656801]"
3,"[104, 1148, 0.6427108079827817]"
3,"[105, 122, 0.642516082952068]"
3,"[106, 588, 0.6424711946366893]"
3,"[107, 1000, 0.6421054211146814]"
3,"[108, 219, 0.6419373458477543]"
3,"[109, 1139, 0.6417145312540682]"
3,"[110, 18, 0.6414297042846453]"
3,"[111, 567, 0.6413588335934474]"
3,"[112, 541, 0.6397186748699327]"
3,"[113, 766, 0.6395327134294986]"
3,"[114, 529, 0.6390198509432488]"
3,"[115, 33, 0.6383919862604243]"
3,"[116, 812, 0.6378722841174892]"
3,"[117, 231, 0.6373159676377472]"
3,"[118, 850, 0.6364506122064195]"
3,"[119, 375, 0.63627728208824]"
3,"[120, 1075, 0.6362467307592785]"
3,"[121, 307, 0.6339067946182257]"
3,"[122, 1111, 0.6336265803752075]"
3,"[123, 1191, 0.6336265803752075]"
3,"[124, 667, 0.6335670427630209]"
3,"[125, 417, 0.6326488292315082]"
3,"[126, 572, 0.6316091341767962]"
3,"[127, 160, 0.6311469637643223]"
3,"[128, 896, 0.6308821977454181]"
3,"[129, 767, 0.6307273419420426]"
3,"[130, 466, 0.6306315799049212]"
3,"[131, 522, 0.6306036610675052]"
3,"[132, 404, 0.6278373851933207]"
3,"[133, 1157, 0.6277506591519985]"
3,"[134, 658, 0.6248502120130335]"
3,"[135, 953, 0.624111202325456]"
3,"[136, 989, 0.6237848489419711]"
3,"[137, 743, 0.6218872128921311]"
3,"[138, 242, 0.6218544807630147]"
3,"[139, 534, 0.6204656056024467]"
3,"[140, 218, 0.6196696369902126]"
3,"[141, 576, 0.6188039587669333]"
3,"[142, 632, 0.6188039587669333]"
3,"[143, 926, 0.6183717845235455]"
3,"[144, 647, 0.6183417519100987]"
3,"[145, 499, 0.6177832716727127]"
3,"[146, 1210, 0.6177832716727127]"
3,"[147, 575, 0.6175721916170323]"
3,"[148, 1173, 0.6163717572277823]"
3,"[149, 747, 0.6160728224765356]"
3,"[150, 1038, 0.6160728224765356]"
3,"[151, 1058, 0.6160728224765356]"
3,"[152, 625, 0.6157831658460243]"
3,"[153, 563, 0.6154440283352574]"
3,"[154, 304, 0.6147657092519317]"
3,"[155, 852, 0.6142805486596469]"
3,"[156, 769, 0.6134869400398204]"
3,"[157, 471, 0.6134122457693463]"
3,"[158, 936, 0.6129623697912691]"
3,"[159, 283, 0.6113851247533623]"
3,"[160, 653, 0.6113851247533623]"
3,"[161, 750, 0.6113851247533623]"
3,"[162, 795, 0.6113851247533623]"
3,"[163, 1127, 0.6113851247533623]"
3,"[164, 1149, 0.6113851247533623]"
3,"[165, 314, 0.6112311672849959]"
3,"[166, 1117, 0.6111752281644527]"
3,"[167, 959, 0.6111393534544906]"
3,"[168, 914, 0.6103907507711187]"
3,"[169, 553, 0.6101544705185199]"
3,"[170, 748, 0.6097360765949531]"
3,"[171, 455, 0.6095168763858236]"
3,"[172, 986, 0.6095168763858236]"
3,"[173, 564, 0.6092251099682285]"
3,"[174, 1197, 0.6077370614062865]"
3,"[175, 107, 0.6075568781274453]"
3,"[176, 737, 0.6075568781274453]"
3,"[177, 530, 0.6064743405272336]"
3,"[178, 1005, 0.6050604989158942]"
3,"[179, 875, 0.6047670112772754]"
3,"[180, 1160, 0.6047670112772754]"
3,"[181, 998, 0.6047252409499932]"
3,"[182, 526, 0.6028569573401761]"
3,"[183, 143, 0.5997136385459185]"
3,"[184, 2, 0.5993839366887951]"
3,"[185, 1169, 0.5990375184316653]"
3,"[186, 302, 0.598975972407089]"
3,"[187, 310, 0.5982799772462729]"
3,"[188, 347, 0.5978787981153242]"
3,"[189, 312, 0.5972939030940332]"
3,"[190, 505, 0.5970759854116652]"
3,"[191, 1156, 0.5963685932827634]"
3,"[192, 1050, 0.5962624925784529]"
3,"[193, 501, 0.5955631966846108]"
3,"[194, 185, 0.5934724081642124]"
3,"[195, 982, 0.5933584006991829]"
3,"[196, 106, 0.590470268142939]"
3,"[197, 726, 0.5902412274677702]"
3,"[198, 527, 0.5897070664839653]"
3,"[199, 399, 0.5894625841332888]"
3,"[200, 498, 0.5894625841332888]"
3,"[201, 1170, 0.5868857294560417]"
3,"[202, 755, 0.5860801440610081]"
3,"[203, 486, 0.5859340424895046]"
3,"[204, 1205, 0.5857903199487395]"
3,"[205, 63, 0.585598172560696]"
3,"[206, 261, 0.58534079395461]"
3,"[207, 348, 0.58534079395461]"
3,"[208, 409, 0.58534079395461]"
3,"[209, 546, 0.58534079395461]"
3,"[210, 374, 0.5850172391063708]"
3,"[211, 848, 0.5845192001971964]"
3,"[212, 59, 0.583820423686176]"
3,"[213, 693, 0.583820423686176]"
3,"[214, 102, 0.5837347240210643]"
3,"[215, 173, 0.5835247894561737]"
3,"[216, 65, 0.5833047437120986]"
3,"[217, 971, 0.5831286407989802]"
3,"[218, 1175, 0.5830358043461943]"
3,"[219, 520, 0.5827001883848236]"
3,"[220, 1068, 0.5826279315768528]"
3,"[221, 1201, 0.5813930779716219]"
3,"[222, 436, 0.5804389801937412]"
3,"[223, 1188, 0.5804389801937412]"
3,"[224, 1198, 0.5789766123596559]"
3,"[225, 297, 0.5775814540558237]"
3,"[226, 548, 0.577159819232452]"
3,"[227, 255, 0.5764773874560489]"
3,"[228, 463, 0.5764773874560489]"
3,"[229, 616, 0.5764773874560489]"
3,"[230, 1126, 0.5764773874560489]"
3,"[231, 462, 0.5757785938513917]"
3,"[232, 442, 0.5752918238213096]"
3,"[233, 956, 0.5749291133548107]"
3,"[234, 1106, 0.5747410519816866]"
3,"[235, 521, 0.5734629072074952]"
3,"[236, 969, 0.5721914838554776]"
3,"[237, 85, 0.5713150177052667]"
3,"[238, 707, 0.5713150177052667]"
3,"[239, 614, 0.5686486588712631]"
3,"[240, 206, 0.5680428618465317]"
3,"[241, 355, 0.5680428618465317]"
3,"[242, 758, 0.5680428618465317]"
3,"[243, 425, 0.5666866542080692]"
3,"[244, 4, 0.5656845443063923]"
3,"[245, 397, 0.5654306316030306]"
3,"[246, 999, 0.5654306316030306]"
3,"[247, 798, 0.5643436599289019]"
3,"[248, 411, 0.563914627229622]"
3,"[249, 1200, 0.5637469967812347]"
3,"[250, 536, 0.563627859879062]"
3,"[251, 963, 0.5628879585661621]"
3,"[252, 1136, 0.5628879585661621]"
3,"[253, 497, 0.5619802956163134]"
3,"[254, 26, 0.5619723777979978]"
3,"[255, 228, 0.5619723777979978]"
3,"[256, 205, 0.5607102297435956]"
3,"[257, 1030, 0.5603043657593737]"
3,"[258, 83, 0.5598086224719894]"
3,"[259, 11, 0.5593735848556797]"
3,"[260, 565, 0.5584375645150156]"
3,"[261, 988, 0.5573571585457865]"
3,"[262, 189, 0.5572856065928062]"
3,"[263, 1029, 0.5570410707826519]"
3,"[264, 1231, 0.5563132538171623]"
3,"[265, 951, 0.5562421539164187]"
3,"[266, 1167, 0.5539847021501548]"
3,"[267, 154, 0.5537733597597443]"
3,"[268, 1053, 0.5537733597597443]"
3,"[269, 281, 0.5520620139101883]"
3,"[270, 602, 0.5507748399024194]"
3,"[271, 369, 0.5506677869755917]"
3,"[272, 525, 0.5506376318924956]"
4,"[1, 1192, 0.7743722703663872]"
4,"[2, 1039, 0.7654934589473416]"
4,"[3, 1197, 0.754653482026089]"
4,"[4, 820, 0.7499813811248632]"
4,"[5, 139, 0.7468686094596068]"
4,"[6, 439, 0.7335148222666126]"
4,"[7, 956, 0.7282436499413117]"
4,"[8, 1170, 0.7083614845567455]"
4,"[9, 568, 0.7016913417688352]"
4,"[10, 856, 0.6949880562598162]"
4,"[11, 497, 0.6769140389953244]"
4,"[12, 311, 0.6366751811342838]"
4,"[13, 31, 0.6324481253727591]"
4,"[14, 552, 0.6324481253727591]"
4,"[15, 1169, 0.6324481253727591]"
4,"[16, 767, 0.6324481253727591]"
4,"[17, 151, 0.6322887929612869]"
4,"[18, 437, 0.6322887929612869]"
4,"[19, 633, 0.6322887929612869]"
4,"[20, 684, 0.6322887929612869]"
4,"[21, 694, 0.6322887929612869]"
4,"[22, 975, 0.6322887929612869]"
4,"[23, 1145, 0.6322887929612869]"
4,"[24, 8, 0.6322112171195721]"
4,"[25, 325, 0.6322112171195721]"
4,"[26, 511, 0.6322112171195721]"
4,"[27, 143, 0.6321533787621968]"
4,"[28, 715, 0.6321395336746284]"
4,"[29, 314, 0.6321361648552689]"
4,"[30, 1167, 0.6321361648552689]"
4,"[31, 1016, 0.6320478500697752]"
4,"[32, 567, 0.6318582391251436]"
4,"[33, 1139, 0.6318582391251436]"
4,"[34, 662, 0.6315664558121682]"
4,"[35, 1185, 0.6312591224744377]"
4,"[36, 1030, 0.6295402663405245]"
4,"[37, 288, 0.6295402663405245]"
4,"[38, 725, 0.6295402663405245]"
4,"[39, 1173, 0.6294764663538557]"
4,"[40, 333, 0.6293083928512425]"
4,"[41, 374, 0.6287194792178795]"
4,"[42, 571, 0.6277386886038433]"
4,"[43, 1091, 0.6277386886038433]"
4,"[44, 206, 0.6277386886038433]"
4,"[45, 243, 0.6277386886038433]"
4,"[46, 265, 0.6277386886038433]"
4,"[47, 822, 0.6277386886038433]"
4,"[48, 914, 0.6277386886038433]"
4,"[49, 758, 0.6274244038479331]"
4,"[50, 430, 0.6254481711087102]"
4,"[51, 494, 0.6254481711087102]"
4,"[52, 536, 0.6254481711087102]"
4,"[53, 1128, 0.6254481711087102]"
4,"[54, 1175, 0.6254481711087102]"
4,"[55, 135, 0.6251655262652291]"
4,"[56, 711, 0.6251655262652291]"
4,"[57, 980, 0.6250077669047741]"
4,"[58, 471, 0.6247173688926508]"
4,"[59, 538, 0.6247173688926508]"
4,"[60, 23, 0.6242250381824624]"
4,"[61, 710, 0.6224309387764052]"
4,"[62, 11, 0.621823142882988]"
4,"[63, 398, 0.6210100847185528]"
4,"[64, 496, 0.6210100847185528]"
4,"[65, 1216, 0.6207225995194589]"
4,"[66, 754, 0.6207225995194589]"
4,"[67, 1019, 0.6207225995194589]"
4,"[68, 312, 0.6206897201441899]"
4,"[69, 148, 0.6177488619356555]"
4,"[70, 190, 0.6174308024647874]"
4,"[71, 451, 0.6174308024647874]"
4,"[72, 680, 0.6174308024647874]"
4,"[73, 957, 0.6174308024647874]"
4,"[74, 1157, 0.6174308024647874]"
4,"[75, 614, 0.61445137044442]"
4,"[76, 928, 0.614309374261707]"
4,"[77, 835, 0.614309374261707]"
4,"[78, 991, 0.614309374261707]"
4,"[79, 1168, 0.6135111457584652]"
4,"[80, 18, 0.6106185483043257]"
4,"[81, 347, 0.6106185483043257]"
4,"[82, 495, 0.6106185483043257]"
4,"[83, 553, 0.6106185483043257]"
4,"[84, 1156, 0.6106185483043257]"
4,"[85, 1238, 0.6106185483043257]"
4,"[86, 187, 0.6091369709606439]"
4,"[87, 515, 0.60830131621442]"
4,"[88, 386, 0.6049822234885962]"
4,"[89, 959, 0.6049822234885962]"
4,"[90, 960, 0.6049822234885962]"
4,"[91, 1172, 0.6049822234885962]"
4,"[92, 1201, 0.6049822234885962]"
4,"[93, 860, 0.6046322590004538]"
4,"[94, 969, 0.6046322590004538]"
4,"[95, 137, 0.6036213223153515]"
4,"[96, 375, 0.6036213223153515]"
4,"[97, 797, 0.6036213223153515]"
4,"[98, 875, 0.6036213223153514]"
4,"[99, 798, 0.6002731221355385]"
4,"[100, 1120, 0.5997263172401934]"
4,"[101, 126, 0.5996534721283385]"
4,"[102, 1234, 0.599223430808139]"
4,"[103, 731, 0.599223430808139]"
4,"[104, 297, 0.599223430808139]"
4,"[105, 726, 0.597422717615814]"
4,"[106, 358, 0.597422717615814]"
4,"[107, 559, 0.596277304668835]"
4,"[108, 7, 0.5954819256024421]"
4,"[109, 589, 0.5944822985868459]"
4,"[110, 322, 0.5895381302892427]"
4,"[111, 955, 0.5881649573993527]"
4,"[112, 498, 0.5881649573993527]"
4,"[113, 539, 0.5838787200774982]"
4,"[114, 867, 0.5780720611837937]"
4,"[115, 912, 0.577611329018122]"
4,"[116, 307, 0.5756527923071947]"
4,"[117, 52, 0.5731227682427494]"
4,"[118, 269, 0.5731227682427494]"
4,"[119, 441, 0.573060971913646]"
4,"[120, 1067, 0.5648649115605004]"
4,"[121, 585, 0.5546542389147714]"
5,"[1, 501, 0.9774574366148966]"
5,"[2, 496, 0.9764006976844944]"
5,"[3, 568, 0.9764006976844944]"
5,"[4, 189, 0.9340333158390022]"
5,"[5, 441, 0.8665439470492603]"
5,"[6, 754, 0.8403815911999657]"
5,"[7, 190, 0.8164568271424101]"
5,"[8, 566, 0.8164568271424101]"
5,"[9, 691, 0.8164568271424101]"
5,"[10, 1135, 0.8164568271424101]"
5,"[11, 745, 0.816210338950127]"
5,"[12, 312, 0.8158086801475131]"
5,"[13, 140, 0.8156942298359892]"
5,"[14, 856, 0.8145792424087809]"
5,"[15, 392, 0.8139957254680215]"
5,"[16, 451, 0.8139957254680215]"
5,"[17, 738, 0.8139957254680215]"
5,"[18, 957, 0.8139957254680215]"
5,"[19, 982, 0.8139957254680215]"
5,"[20, 439, 0.8139583911893792]"
5,"[21, 1016, 0.8139583911893792]"
5,"[22, 59, 0.8136229854361933]"
5,"[23, 1175, 0.8136229854361933]"
5,"[24, 553, 0.8134265246149625]"
5,"[25, 1156, 0.8134265246149625]"
5,"[26, 499, 0.8121732155283168]"
5,"[27, 895, 0.8117012588580601]"
5,"[28, 502, 0.8103412400953622]"
5,"[29, 1145, 0.8103412400953622]"
5,"[30, 776, 0.8097773755439327]"
5,"[31, 297, 0.8093508028931117]"
5,"[32, 562, 0.8093508028931117]"
5,"[33, 930, 0.8093508028931117]"
5,"[34, 1067, 0.8093508028931117]"
5,"[35, 1137, 0.8093508028931117]"
5,"[36, 658, 0.8054581195506417]"
5,"[37, 690, 0.8054581195506417]"
5,"[38, 174, 0.7991547379832105]"
5,"[39, 571, 0.7991547379832105]"
5,"[40, 697, 0.7991547379832105]"
5,"[41, 906, 0.7991547379832105]"
5,"[42, 977, 0.7991547379832105]"
5,"[43, 1192, 0.7991547379832105]"
5,"[44, 300, 0.7985124116972799]"
5,"[45, 1238, 0.7984754345914753]"
5,"[46, 559, 0.797618463295546]"
5,"[47, 710, 0.7916476640723392]"
5,"[48, 503, 0.7916476640723392]"
5,"[49, 150, 0.7909121428084389]"
5,"[50, 206, 0.7909121428084389]"
5,"[51, 382, 0.7909121428084389]"
5,"[52, 398, 0.7909121428084389]"
5,"[53, 430, 0.7909121428084389]"
5,"[54, 540, 0.7909121428084389]"
5,"[55, 563, 0.7909121428084389]"
5,"[56, 602, 0.7909121428084389]"
5,"[57, 689, 0.7909121428084389]"
5,"[58, 693, 0.7909121428084389]"
5,"[59, 1128, 0.7909121428084389]"
5,"[60, 1237, 0.7863753290031177]"
5,"[61, 508, 0.7766227099028363]"
5,"[62, 529, 0.7766227099028363]"
5,"[63, 812, 0.7766227099028363]"
5,"[64, 831, 0.7766227099028363]"
5,"[65, 1136, 0.7766227099028363]"
5,"[66, 265, 0.7754535418463413]"
5,"[67, 564, 0.7748637671678058]"
5,"[68, 867, 0.7748637671678058]"
5,"[69, 211, 0.7659226098337817]"
5,"[70, 495, 0.7659226098337817]"
5,"[71, 1202, 0.7659226098337817]"
5,"[72, 144, 0.7576314544390679]"
5,"[73, 530, 0.7576314544390679]"
5,"[74, 676, 0.7576314544390679]"
5,"[75, 964, 0.7576314544390679]"
5,"[76, 1044, 0.7576314544390679]"
5,"[77, 1172, 0.7576314544390679]"
5,"[78, 798, 0.7509842429288559]"
5,"[79, 860, 0.7509842429288559]"
5,"[80, 1120, 0.7509842429288559]"
5,"[81, 771, 0.7455039550736062]"
5,"[82, 1206, 0.7408832995307946]"
5,"[83, 322, 0.7304098856138876]"
5,"[84, 742, 0.7281390748240357]"
5,"[85, 811, 0.7281390748240357]"
5,"[86, 961, 0.723031791774199]"
5,"[87, 151, 0.7195431763745903]"
5,"[88, 975, 0.7195431763745903]"
5,"[89, 711, 0.7183305075922051]"
5,"[90, 437, 0.7040751263249935]"
5,"[91, 266, 0.6771972687279733]"
5,"[92, 498, 0.6643198601003656]"
5,"[93, 3, 0.5773502691896258]"
5,"[94, 11, 0.5773502691896258]"
5,"[95, 13, 0.5773502691896258]"
5,"[96, 38, 0.5773502691896258]"
5,"[97, 55, 0.5773502691896258]"
5,"[98, 63, 0.5773502691896258]"
5,"[99, 122, 0.5773502691896258]"
5,"[100, 139, 0.5773502691896258]"
5,"[101, 141, 0.5773502691896258]"
5,"[102, 143, 0.5773502691896258]"
5,"[103, 148, 0.5773502691896258]"
5,"[104, 187, 0.5773502691896258]"
5,"[105, 201, 0.5773502691896258]"
5,"[106, 218, 0.5773502691896258]"
5,"[107, 236, 0.5773502691896258]"
5,"[108, 243, 0.5773502691896258]"
5,"[109, 260, 0.5773502691896258]"
5,"[110, 307, 0.5773502691896258]"
5,"[111, 313, 0.5773502691896258]"
5,"[112, 314, 0.5773502691896258]"
5,"[113, 320, 0.5773502691896258]"
5,"[114, 336, 0.5773502691896258]"
5,"[115, 337, 0.5773502691896258]"
5,"[116, 355, 0.5773502691896258]"
5,"[117, 358, 0.5773502691896258]"
5,"[118, 386, 0.5773502691896258]"
5,"[119, 394, 0.5773502691896258]"
5,"[120, 411, 0.5773502691896258]"
5,"[121, 424, 0.5773502691896258]"
5,"[122, 469, 0.5773502691896258]"
5,"[123, 475, 0.5773502691896258]"
5,"[124, 494, 0.5773502691896258]"
5,"[125, 525, 0.5773502691896258]"
5,"[126, 526, 0.5773502691896258]"
5,"[127, 536, 0.5773502691896258]"
5,"[128, 541, 0.5773502691896258]"
5,"[129, 543, 0.5773502691896258]"
5,"[130, 573, 0.5773502691896258]"
5,"[131, 586, 0.5773502691896258]"
5,"[132, 589, 0.5773502691896258]"
5,"[133, 624, 0.5773502691896258]"
5,"[134, 628, 0.5773502691896258]"
5,"[135, 646, 0.5773502691896258]"
5,"[136, 647, 0.5773502691896258]"
5,"[137, 655, 0.5773502691896258]"
5,"[138, 722, 0.5773502691896258]"
5,"[139, 726, 0.5773502691896258]"
5,"[140, 741, 0.5773502691896258]"
5,"[141, 748, 0.5773502691896258]"
5,"[142, 749, 0.5773502691896258]"
5,"[143, 758, 0.5773502691896258]"
5,"[144, 765, 0.5773502691896258]"
5,"[145, 786, 0.5773502691896258]"
5,"[146, 794, 0.5773502691896258]"
5,"[147, 796, 0.5773502691896258]"
5,"[148, 809, 0.5773502691896258]"
5,"[149, 815, 0.5773502691896258]"
5,"[150, 819, 0.5773502691896258]"
5,"[151, 822, 0.5773502691896258]"
5,"[152, 830, 0.5773502691896258]"
5,"[153, 852, 0.5773502691896258]"
5,"[154, 869, 0.5773502691896258]"
5,"[155, 892, 0.5773502691896258]"
5,"[156, 914, 0.5773502691896258]"
5,"[157, 926, 0.5773502691896258]"
5,"[158, 950, 0.5773502691896258]"
5,"[159, 951, 0.5773502691896258]"
5,"[160, 956, 0.5773502691896258]"
5,"[161, 959, 0.5773502691896258]"
5,"[162, 960, 0.5773502691896258]"
5,"[163, 962, 0.5773502691896258]"
5,"[164, 969, 0.5773502691896258]"
