QueryNumber,DCG
32,"[0, 0, 0, 0, 0, 0, 0, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665]"
33,"[10, 22.0, 22.0, 28.0, 28.0, 28.0, 31.205864683972198, 31.205864683972198, 31.205864683972198, 31.205864683972198]"
34,"[9, 21.0, 21.0, 27.0, 30.876089022660537, 35.518322709475036, 35.518322709475036, 39.518322709475036, 42.672971477332325, 42.672971477332325]"
35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"[12, 24.0, 30.309297535714574, 35.30929753571458, 35.30929753571458, 39.95153122252908, 44.22601746782534, 48.22601746782534, 50.749736482111174, 54.36209643007895]"
38,"[9, 9, 9, 9, 9.861353116146786, 9.861353116146786, 9.861353116146786, 9.861353116146786, 9.861353116146786, 9.861353116146786]"
39,"[4, 8.0, 11.785578521428745, 13.785578521428745, 15.077608195648924, 15.851313810118008, 15.851313810118008, 15.851313810118008, 15.851313810118008, 17.055433792773933]"
40,"[9, 9, 16.57115704285749, 22.07115704285749, 22.501833600930883, 23.275539215399967, 23.275539215399967, 26.942205882066634, 30.412319526709652, 30.412319526709652]"
41,"[0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]"
42,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
43,"[0, 12.0, 13.261859507142916, 13.261859507142916, 13.261859507142916, 13.261859507142916, 13.261859507142916, 13.261859507142916, 13.261859507142916, 13.261859507142916]"
44,"[12, 24.0, 24.0, 27.5, 27.5, 27.5, 29.993450309756156, 33.993450309756156, 37.7790288311849, 41.39138877915268]"
45,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
46,"[0, 0, 0, 6.0, 6.0, 6.0, 6.712414374216045, 6.712414374216045, 6.712414374216045, 6.712414374216045]"
47,"[12, 12, 12, 12.5, 12.5, 12.5, 12.5, 12.5, 12.5, 12.5]"
48,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
49,"[8, 8, 8.630929753571458, 13.630929753571458, 17.0763422181586, 20.171164676034934, 23.377029360007132, 27.377029360007132, 27.377029360007132, 27.377029360007132]"
50,"[6, 6, 13.57115704285749, 13.57115704285749, 13.57115704285749, 13.57115704285749, 13.57115704285749, 13.57115704285749, 13.57115704285749, 13.57115704285749]"
51,"[2, 2, 2, 7.0, 7.0, 8.547411228938167, 9.25982560315421, 9.25982560315421, 9.25982560315421, 12.270125559794023]"
52,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"[5, 5, 6.892789260714372, 6.892789260714372, 6.892789260714372, 7.666494875183456, 7.666494875183456, 7.666494875183456, 7.666494875183456, 7.666494875183456]"
54,"[0, 11.0, 11.0, 17.0, 17.0, 17.0, 17.0, 17.0, 19.208254137500102, 19.208254137500102]"
55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,"[0, 0, 0, 0.5, 0.9306765580733931, 0.9306765580733931, 0.9306765580733931, 0.9306765580733931, 0.9306765580733931, 0.9306765580733931]"
57,"[3, 3, 7.4165082750002025, 7.4165082750002025, 9.139214507293774, 10.299772928997399, 10.299772928997399, 10.299772928997399, 12.192562189711772, 12.192562189711772]"
58,"[0, 7.0, 12.678367782143116, 12.678367782143116, 14.831750572510082, 15.218603379744623, 15.218603379744623, 15.218603379744623, 19.004181901173368, 19.004181901173368]"
59,"[0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.315464876785729, 6.519584859441654]"
60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,"[11, 11, 11, 14.5, 15.361353116146786, 18.84302838125766, 18.84302838125766, 18.84302838125766, 18.84302838125766, 18.84302838125766]"
62,"[0, 0, 3.1546487678572874, 3.1546487678572874, 4.016001884004074, 4.789707498473157, 4.789707498473157, 4.789707498473157, 5.105172375258886, 5.707232366586848]"
63,"[0, 0, 0, 0, 0, 0.38685280723454163, 0.38685280723454163, 0.38685280723454163, 0.38685280723454163, 0.38685280723454163]"
64,"[2, 2, 3.261859507142915, 3.261859507142915, 3.261859507142915, 3.261859507142915, 7.536345752439182, 8.203012419105848, 11.988590940534593, 11.988590940534593]"
65,"[5, 5, 5, 10.5, 11.361353116146786, 14.069322766788577, 14.069322766788577, 18.069322766788577, 21.85490128821732, 21.85490128821732]"
66,"[0, 0, 3.7855785214287447, 3.7855785214287447, 3.7855785214287447, 3.7855785214287447, 3.7855785214287447, 3.7855785214287447, 4.101043398214474, 4.101043398214474]"
67,"[0, 1.0, 1.0, 5.0, 9.737442138807324, 11.284853367745491, 11.284853367745491, 11.284853367745491, 11.284853367745491, 11.284853367745491]"
68,"[0, 0, 0, 0, 0, 0, 0, 4.0, 4.0, 4.0]"
69,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"[0, 0, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895, 7.5711570428574895]"
72,"[0, 0, 1.261859507142915, 1.261859507142915, 2.984565739436487, 2.984565739436487, 2.984565739436487, 2.984565739436487, 2.984565739436487, 2.984565739436487]"
73,"[0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
74,"[0, 0, 0, 0, 0, 0, 4.274486245296266, 4.274486245296266, 4.274486245296266, 4.274486245296266]"
75,"[2, 2, 3.261859507142915, 5.2618595071429155, 6.123212623289701, 6.123212623289701, 6.123212623289701, 6.123212623289701, 6.123212623289701, 6.123212623289701]"
76,"[0, 0, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033]"
77,"[0, 9.0, 16.57115704285749, 16.57115704285749, 16.57115704285749, 16.57115704285749, 16.57115704285749, 16.57115704285749, 16.57115704285749, 16.57115704285749]"
78,"[0, 12.0, 13.261859507142916, 15.261859507142916, 15.261859507142916, 15.648712314377457, 19.92319855967372, 19.92319855967372, 19.92319855967372, 21.72937853365761]"
79,"[3, 3, 8.04743802857166, 11.54743802857166, 11.978114586645054, 12.364967393879596, 12.364967393879596, 12.364967393879596, 12.364967393879596, 12.364967393879596]"
80,"[0, 11.0, 18.57115704285749, 21.07115704285749, 21.07115704285749, 25.326537922437446, 29.601024167733712, 31.26769083440038, 31.26769083440038, 31.26769083440038]"
81,"[0, 11.0, 11.0, 14.5, 14.5, 14.5, 14.5, 14.5, 14.5, 14.5]"
82,"[0, 0, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033, 6.940227289286033]"
83,"[0, 1.0, 2.261859507142915, 2.261859507142915, 2.261859507142915, 2.261859507142915, 2.261859507142915, 2.261859507142915, 2.261859507142915, 2.261859507142915]"
84,"[0, 10.0, 12.523719014285831, 12.523719014285831, 12.523719014285831, 14.071130243223998, 15.852166178764108, 15.852166178764108, 15.852166178764108, 15.852166178764108]"
85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,"[0, 2.0, 2.0, 3.5, 6.084059348440359, 6.084059348440359, 6.084059348440359, 9.417392681773693, 10.04832243534515, 10.349352431009132]"
87,"[0, 2.0, 2.0, 2.0, 2.0, 2.7737056144690833, 2.7737056144690833, 2.7737056144690833, 2.7737056144690833, 2.7737056144690833]"
88,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,"[12, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0]"
90,"[9, 9, 15.309297535714574, 15.309297535714574, 15.309297535714574, 15.309297535714574, 15.309297535714574, 15.309297535714574, 15.309297535714574, 15.911357527042536]"
91,"[2, 4.0, 5.892789260714372, 5.892789260714372, 6.754142376861158, 7.914700798564783, 7.914700798564783, 7.914700798564783, 7.914700798564783, 9.118820781220707]"
92,"[3, 7.0, 9.523719014285831, 12.023719014285831, 12.023719014285831, 12.797424628754914, 12.797424628754914, 13.46409129542158, 14.095021048993038, 14.095021048993038]"
94,"[7, 19.0, 26.57115704285749, 32.57115704285749, 37.30859918166482, 41.56398006124478, 45.482259119433024, 45.482259119433024, 45.482259119433024, 46.68637910208895]"
95,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,"[0, 0, 1.261859507142915, 1.261859507142915, 4.276595413656667, 4.276595413656667, 4.276595413656667, 4.276595413656667, 4.276595413656667, 4.276595413656667]"
98,"[0, 0, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025, 4.4165082750002025]"
99,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
